player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,salary
Mamadi Diakite,CLE,26,205.74,103.418976,Virginia,Guinea,5,22,2.6,1.4,0.4,0.7,0.051,0.133,0.164,0.56,0.07,2022-23,0.508891
MarJon Beauchamp,MIL,22,200.66,90.264808,,USA,2,52,5.1,2.2,0.7,-7.2,0.05,0.103,0.175,0.513,0.072,2022-23,2.4852
Marcus Smart,BOS,29,193.04,99.79024,Oklahoma State,USA,1,61,11.5,3.1,6.3,6.3,0.024,0.073,0.176,0.538,0.256,2022-23,17.207141999999997
Mark Williams,CHA,21,213.36,108.86208,Duke,USA,2,43,9,7.1,0.4,-4.7,0.106,0.232,0.168,0.659,0.033,2022-23,3.72204
Markelle Fultz,ORL,25,193.04,94.800728,Washington,USA,1,60,14,3.9,5.7,-3.7,0.038,0.095,0.208,0.564,0.29,2022-23,16.5
Markieff Morris,DAL,33,205.74,111.13004,Kansas,USA,1,35,3.8,2,0.9,1.7,0.037,0.15,0.159,0.553,0.114,2022-23,2.9058509999999997
Marko Simonovic,CHI,23,213.36,99.79024,,Montenegro,4,7,0.9,0.3,0,27.3,0.043,0.059,0.145,0.381,0,2022-23,1.563518
Mason Plumlee,LAC,33,213.36,115.212368,Duke,USA,2,79,10.8,8.9,3.1,-5.9,0.105,0.238,0.149,0.689,0.166,2022-23,9.080417
Matisse Thybulle,POR,26,195.58,91.171992,Washington,USA,2,71,4.1,2,0.7,-0.5,0.032,0.085,0.102,0.552,0.059,2022-23,4.379526
Matt Ryan,MIN,26,198.12,97.52228,Tennessee-Chattanooga,USA,5,34,3.6,0.8,0.5,2.2,0.013,0.067,0.157,0.538,0.068,2022-23,0.806097
Matthew Dellavedova,SAC,32,190.5,90.7184,,Australia,5,32,1.5,0.4,1.3,-8.8,0.005,0.054,0.122,0.443,0.279,2022-23,2.628597
Max Christie,LAL,20,195.58,86.18248,Michigan State,USA,3,41,3.1,1.8,0.5,-7.1,0.012,0.126,0.1,0.566,0.054,2022-23,1.0177809999999998
Max Strus,MIA,27,195.58,97.52228,DePaul,USA,5,80,11.5,3.2,2.1,-3.8,0.021,0.097,0.17,0.557,0.115,2022-23,1.8156770000000002
Maxi Kleber,DAL,31,208.28,108.86208,,Germany,5,37,5.9,3.6,1.4,-2.9,0.033,0.116,0.1,0.592,0.079,2022-23,9
Meyers Leonard,MIL,31,213.36,117.93392,Illinois,USA,1,9,4.8,3.8,0.1,-12.5,0.103,0.195,0.14,0.652,0.012,2022-23,0.713558
Malik Monk,SAC,25,190.5,90.7184,Kentucky,USA,1,77,13.5,2.6,3.9,1,0.019,0.097,0.247,0.587,0.258,2022-23,9.472218999999999
